order_id,customer_name,customer_dob,customer_gender,order_date,order_cost,store_location
#3954,Robert Ray,1990/04/29,MALE,2020-10-23,106.83,AirportStore
5245,Michelle Nguyen,1978-08-12,F,2020-09-05,109.12,OutletCenter
#7296,Michelle Davis,1986/06/19,F,2020-02-11,12.86,ShoppingMall
4202,Jack Perez,1995-12-11,F,2021/04/06,121.26,Suburbs
6268,Julia White,1991/07/16,MALE,2022-11-11,128.02,ShoppingMall
#2293,Emily Wilson,1998-09-20,MALE,2021/07/09,167.53,Suburbs
10934,John Thomas,1979/09/06,M,2023-09-24,14.18,AirportStore
2539,Samantha Schmidt,2001/08/10,FEMALE,2020-10-31,113.46,Suburbs
#9486,Derek Davis,1998-12-28,M,2022-03-29,112.61,Downtown
#4254,Jason Perez,1979-10-01,M,2020/12/01,121.43,Suburbs
10814,Emily Scott,1997/04/27,F,2020-09-09,17.16,ShoppingMall
10879,Robert Taylor,1973-08-03,MALE,2021-08-05,153.32,AirportStore
#2109,David Baker,1991-06-19,M,2022/12/02,169.51,ShoppingMall
#6061,Monica Green,1975/07/23,MALE,2023/05/07,153.76,ShoppingMall
#1854,Michelle Green,1970/07/14,F,2023-11-10,72.35,Downtown
#7562,Derek Ray,1974-07-11,FEMALE,2023-10-23,17.01,OutletCenter
#3475,Mike White,1985/08/05,MALE,2022/12/26,42.29,AirportStore
9336,Renan Young,1973/05/06,FEMALE,2023/11/15,40.41,Downtown
#5230,Mike Price,1999/09/03,MALE,2021/07/02,190.90,ShoppingMall
#5064,Jack Hughes,1977-12-01,F,2020/09/13,89.18,OutletCenter
9380,Michelle Scott,1978-02-15,M,2023/09/10,139.78,ShoppingMall
#7723,Karen Perez,1977-04-12,MALE,2021-05-12,49.78,AirportStore
#10862,Marcia Hughes,1992/04/03,M,2021/12/10,167.38,AirportStore
9248,Renan Black,2003-11-11,M,2021/08/09,41.47,AirportStore
#3107,Robert Lee,1990/06/20,FEMALE,2023/01/18,175.98,ShoppingMall
7672,Mike Kim,1998/05/07,M,2020/12/08,71.89,AirportStore
1025,Jack Clark,1988/01/01,FEMALE,2022-04-07,161.00,AirportStore
#2815,John Price,1974-05-22,MALE,2022-06-02,166.24,Suburbs
6111,Emily Wilson,1973-06-16,MALE,2023/09/20,180.54,Downtown
4447,Samantha Davis,1976-06-21,F,2023/10/21,183.73,Downtown
#10717,Amanda Brown,1981-02-16,M,2022-03-21,195.68,Downtown
5472,Amanda Davis,1990-04-07,MALE,2021/12/29,34.59,ShoppingMall
7595,Lisa Clark,1983/06/09,F,2023/12/21,151.34,ShoppingMall
4638,John Green,1994/09/16,FEMALE,2021/11/11,109.21,OutletCenter
4136,Joshua Black,1998/08/01,FEMALE,2023/06/25,159.21,ShoppingMall
#4470,Bruna White,1995-01-08,F,2020-09-25,104.93,OutletCenter
2535,Bruna Martins,1974-09-24,M,2021/03/16,19.43,AirportStore
10810,Michelle Kim,1995/08/09,F,2022/05/15,147.28,ShoppingMall
1853,Jack Nguyen,1990-01-01,F,2020/06/09,88.01,Suburbs
#1528,Jason Hall,1979/07/17,M,2023/06/09,95.23,OutletCenter
#4590,Renan Price,1983/03/11,FEMALE,2023/12/18,23.27,Downtown
5084,Jerry Price,1977/02/07,F,2021/04/26,95.46,Suburbs
#5652,Monica Baker,1984-08-01,MALE,2020/10/16,37.26,AirportStore
8649,Sarah Taylor,1991-03-18,FEMALE,2021-10-06,199.98,ShoppingMall
7705,Anna Brown,1988-08-03,FEMALE,2023/10/27,110.56,AirportStore
#8195,Julia Carter,1977-10-02,MALE,2023/11/07,87.04,Downtown
#10825,Amanda Rocha,2000/05/04,MALE,2023-02-12,125.41,AirportStore
#9801,Derek Smith,1986-04-16,F,2022/03/20,127.99,OutletCenter
#3070,Anna Doe,1985/06/18,FEMALE,2020-04-21,140.28,Downtown
#6895,Karen Rocha,1997-07-01,FEMALE,2023/12/09,51.41,OutletCenter
#8955,Marcia Green,1980/01/14,MALE,2023-09-02,136.58,Downtown
1602,Karen Ray,1984/07/20,MALE,2021/02/27,15.35,Downtown
#1908,Amanda Martins,2002-04-13,MALE,2023-11-12,21.38,Suburbs
2914,Jack Price,1970/03/26,F,2022/03/16,194.87,Suburbs
#4472,Anna Nguyen,1987/10/25,M,2022/09/02,31.14,AirportStore
#1002,Anna Hughes,2000-04-27,MALE,2020/10/16,123.21,ShoppingMall
#6215,Amanda Perez,1998/05/07,F,2020-05-03,106.70,AirportStore
7527,Peter Taylor,1998/02/11,FEMALE,2023/02/06,88.26,OutletCenter
7620,Peter Pereira,1988-05-03,FEMALE,2022-09-05,50.38,Downtown
6400,Monica Scott,1989/07/31,F,2023/07/21,34.86,Downtown
#6173,John Wilson,1993/01/22,F,2020/01/31,172.34,Suburbs
#9706,Anna Ross,1999-06-08,MALE,2021-03-24,73.69,AirportStore
10719,Robert Ray,1985/05/05,MALE,2023/12/02,25.40,OutletCenter
9050,Diana Davis,1971-04-22,F,2020-12-25,39.80,ShoppingMall
#5272,Melissa Schmidt,2002/03/20,F,2023/03/16,116.84,ShoppingMall
3239,John Hughes,1982/10/15,F,2023-05-16,114.61,AirportStore
#1168,Sarah Thomas,1989-02-03,FEMALE,2023-06-12,80.31,AirportStore
#1966,Jack Price,1997-03-22,FEMALE,2022-05-04,143.30,ShoppingMall
#8814,Robert Martins,2002/01/16,F,2022/07/02,53.67,Downtown
8725,Julia Taylor,1990-11-04,F,2023/07/19,42.71,Suburbs
9599,Lisa Davis,1983/01/30,FEMALE,2020-11-26,151.25,OutletCenter
5607,Jack Baker,1984/03/31,MALE,2021-08-31,75.89,OutletCenter
3954,Jerry Brown,1993/02/21,MALE,2021/11/05,115.40,Downtown
5226,Emily Wilson,1984/11/04,F,2020/11/08,45.69,Suburbs
#10543,Robert Baker,1982-03-05,FEMALE,2021-12-07,175.51,OutletCenter
#8585,Lisa Lee,1991-11-12,M,2021-06-29,184.72,Downtown
3697,Michelle Black,1976/07/15,F,2022-01-04,40.62,Suburbs
#8632,Anna White,1976/05/21,MALE,2021-04-26,186.76,AirportStore
#5408,Sarah Carter,1995/04/12,MALE,2023/02/10,133.75,Downtown
2971,Clara Hall,1996-10-13,MALE,2020/09/16,77.38,Downtown
2388,David Carter,1982/06/21,F,2023-08-24,78.27,ShoppingMall
7704,Renan Doe,1970/11/16,MALE,2021/03/02,167.91,ShoppingMall
7148,John Kim,1995/05/29,F,2023-10-18,23.16,Suburbs
2604,Emily Green,1983/01/08,F,2022-01-27,84.67,Suburbs
5881,Melissa Nguyen,1991/05/18,M,2021-07-18,76.67,Downtown
8809,Jerry Green,1975/11/30,F,2022-07-14,53.45,Downtown
#10216,Karen Lee,1995/07/27,MALE,2020/03/04,103.60,Downtown
#5356,Jason Smith,1988-07-01,MALE,2020/11/21,67.45,ShoppingMall
6710,Julia White,1982/04/02,MALE,2021/02/12,44.25,Suburbs
3304,Jack Lee,1988/10/19,FEMALE,2020/08/03,189.05,ShoppingMall
7651,Marcia Hall,1980-10-15,MALE,2021/03/09,195.08,Downtown
#5119,Jason Ross,1995/10/04,FEMALE,2021/01/22,167.35,AirportStore
#1069,Joshua Schmidt,1986/04/27,MALE,2021-09-25,173.83,Downtown
10283,Peter Young,2005/11/28,MALE,2021-04-21,30.07,AirportStore
