order_id,customer_name,customer_dob,customer_gender,order_date,order_cost,payment_method
#6880,david martins,1975/08/19,FEMALE,2021/04/07,25.18,PIX
6316,samantha ross,1979/05/07,F,2021-12-23,83.69,DEBIT_CARD
8000,MARCIA MARTINS,1975-12-17,MALE,2022/02/24,68.89,PIX
#6778,BRUNA MARTINS,1991-09-15,MALE,2023-10-20,177.69,ONLINE_PAYMENT
8728,jane Taylor,1996-05-13,M,2022/03/25,13.44,CASH
#4680,brUnA ScOtT,1982/10/02,F,2021/05/12,29.58,CREDIT_CARD
3819,LISA KIM,1990/12/08,FEMALE,2020-01-13,128.87,PIX
4500,ANNA DAVIS,1980-07-12,M,2022/07/22,18.19,DEBIT_CARD
5163,EMily doE,2001/07/27,FEMALE,2021/05/25,114.51,ONLINE_PAYMENT
6799,AMANDA HUGHES,1973-03-20,MALE,2022/01/31,129.84,CASH
7526,peter rocha,1981/03/24,MALE,2021/11/15,118.27,ONLINE_PAYMENT
#3488,JULIA NGUYEN,1972-01-12,F,2021-03-10,194.17,PIX
#2689,karen wilson,1999-05-28,FEMALE,2021-06-15,191.05,PIX
2402,JOSHUA RAY,1981/09/17,MALE,2021-06-14,64.83,DEBIT_CARD
#2852,mike white,1982-11-16,F,2020/07/27,74.91,PIX
#1272,EMILY RAY,1997-06-27,M,2022/11/29,143.96,ONLINE_PAYMENT
1935,ROBERT SCHMIDT,2000-02-27,MALE,2020-05-17,23.99,PIX
5212,LISA KIM,2001/01/08,M,2023/11/29,148.57,PIX
7785,JERRY CLARK,1993/04/16,M,2023-05-19,147.36,DEBIT_CARD
#6695,jerry clark,1979-10-19,MALE,2020-07-28,186.83,DEBIT_CARD
#2900,ANNA SCHMIDT,2002/06/23,F,2023-06-12,15.60,CASH
#10236,ROBERT KIM,1994/12/03,M,2020/10/07,54.35,ONLINE_PAYMENT
5533,derek thomas,2000/09/18,F,2023/05/11,57.16,ONLINE_PAYMENT
1436,MICHELLE RAY,1974/11/20,F,2022/07/21,158.95,ONLINE_PAYMENT
6416,bruna black,1987-07-31,M,2023-02-23,20.20,CREDIT_CARD
8629,annA thomAs,1984/05/29,FEMALE,2020/01/24,184.19,CREDIT_CARD
#2642,ANna BlacK,1977-01-22,MALE,2021/05/02,77.06,PIX
#1493,lisa kim,2000/04/07,M,2022/10/11,190.71,ONLINE_PAYMENT
#1835,RObERT hUGheS,1988-02-25,M,2022-07-11,147.22,ONLINE_PAYMENT
#6792,MaRcIA nGuYEN,2000/06/05,M,2021-04-12,39.38,CREDIT_CARD
#1682,ArtHUr NgUyEN,1993-11-23,FEMALE,2020/07/07,126.52,DEBIT_CARD
#8396,MARCIA WHITE,2004/01/24,MALE,2020-09-03,152.75,CREDIT_CARD
8863,ARTHUR BAKER,1971/06/29,M,2023-12-23,164.85,CASH
1032,JASON PRICE,1983/04/23,FEMALE,2020/11/27,98.39,CREDIT_CARD
1328,jack ray,1990-01-19,MALE,2023/03/25,158.20,DEBIT_CARD
#7833,jane martins,1983-05-10,M,2023-08-11,86.74,PIX
#5083,LISA WHITE,1970/05/05,FEMALE,2023/08/22,54.66,DEBIT_CARD
5590,julia baker,1988-08-04,FEMALE,2023/04/28,109.77,CASH
#1463,karen scott,1974/08/25,M,2020/07/23,50.04,DEBIT_CARD
10575,KAREN GREEN,1987/04/22,MALE,2023-09-05,60.09,CASH
6826,sarah johnson,1984-05-27,FEMALE,2022-04-13,46.98,CASH
7947,PeteR peREZ,2003/09/03,M,2023-08-26,47.48,CASH
2706,MONICA BLACK,1988-09-13,M,2022/12/11,169.81,DEBIT_CARD
9478,LISA ROSS,1987-08-01,FEMALE,2021/01/13,181.46,ONLINE_PAYMENT
4303,MONICA DAVIS,1977-12-18,M,2023/12/05,170.32,PIX
#7513,sAmAntha ross,1977-03-04,M,2022/12/22,96.90,DEBIT_CARD
7779,lisa lee,1976/04/03,F,2020-07-12,48.35,ONLINE_PAYMENT
#5855,sarah black,2003-11-05,FEMALE,2023-09-26,179.81,PIX
5325,mIcheLLe Lee,1985/05/12,MALE,2023-09-23,51.11,PIX
#9003,SARAH TAYLOR,1997/01/20,F,2021-10-15,98.80,ONLINE_PAYMENT
#10235,JAcK NguyEn,1973/05/13,M,2023-03-06,48.04,PIX
1114,MONICA LEE,2001/04/29,M,2022-12-12,117.57,CASH
#9456,JOshuA whitE,1996/11/17,FEMALE,2022-08-06,63.03,CREDIT_CARD
1326,jasON JohNsOn,1970/07/20,F,2023/08/31,85.47,ONLINE_PAYMENT
#2156,JANE JOHNSON,1973/04/22,M,2021-06-09,92.79,ONLINE_PAYMENT
#10126,LIsA raY,1980-10-25,M,2020/07/31,39.93,CREDIT_CARD
3523,lisa white,1981/09/24,F,2022-09-24,94.43,PIX
6030,deREK blACK,1984/08/29,FEMALE,2021-08-26,62.57,DEBIT_CARD
#3943,jason young,2002-08-29,F,2020-07-11,175.17,PIX
1392,JERRy wIlSON,1976/12/13,F,2022/09/26,86.79,DEBIT_CARD
#7649,lisa ray,2005-01-18,MALE,2021/05/29,35.02,PIX
5042,JOSHUA MARTINS,2004-04-18,FEMALE,2021-10-03,178.73,PIX
#10284,saMAntHA nGuyEn,1990/07/22,M,2023/07/24,132.11,DEBIT_CARD
#7569,MARCIA DOE,1983/02/01,M,2023-01-19,179.40,CREDIT_CARD
8675,MARCIA THOMAS,1974/03/11,MALE,2023/05/26,13.50,ONLINE_PAYMENT
9960,DEREK SCOTT,1988-06-15,M,2021/08/24,112.82,CREDIT_CARD
#8625,phiLiP taYLor,1999-11-08,M,2020-01-13,49.27,DEBIT_CARD
4787,amanda johnson,1971/03/25,M,2021-12-23,192.87,ONLINE_PAYMENT
7191,diana smith,1997/08/08,MALE,2020/10/18,94.23,ONLINE_PAYMENT
#5499,JOHN SCHMIDT,1998-05-30,M,2023/08/03,12.09,CREDIT_CARD
#1575,DIANA BAKER,1985/06/24,F,2023-06-24,65.67,CREDIT_CARD
5157,derek schmidt,1980/01/14,FEMALE,2020/04/26,109.59,DEBIT_CARD
2036,MONICA JOHNSON,1976/04/24,M,2023-02-05,23.22,PIX
#5500,eMILy PrIcE,1993-03-18,MALE,2021/07/19,71.97,ONLINE_PAYMENT
5055,ANNA PEREZ,2005/01/03,MALE,2023/01/19,101.45,ONLINE_PAYMENT
9047,philip thomas,1972/04/19,FEMALE,2021-07-24,182.32,DEBIT_CARD
4547,rENaN Ray,1989-09-27,FEMALE,2021-03-20,10.65,CASH
5568,JoHn tayLOr,1970-11-22,F,2021/05/10,164.44,ONLINE_PAYMENT
#4027,clara green,2004/09/30,MALE,2023-01-23,107.77,CASH
6670,dEREk YounG,1985/08/17,MALE,2020/06/29,99.45,CREDIT_CARD
